Team Name,Leader Name,Leader Email,Leader Phone,Leader Year,Leader College,Members
Nesciunt necessitatibus,Samarth Sibal,samarthsibal@example.com,1244251576,4,"Dr. Vishwanath Karad MIT World Peace University (MIT-WPU), Pune",samarthsibal@example.com
Quaerat quos,Ritvik Walia,ritvikwalia@example.com,917233372529,2,"United College Of Engineering and Research (UCER), Allahabad",ritvikwalia@example.com
Ducimus fugit,Jayant Shan,jayantshan@example.com,915274595604,3,WBUAFS,jayantshan@example.com
Culpa eos,Vedika Swamy,vedikaswamy@example.com,5272516645,2,"MITWPU Department of Computer Engineering, Pune, Maharashtra",vedikaswamy@example.com
Distinctio asperiores,Raghav Raju,raghavraju@example.com,911966210587,3,"Indian Institute of Technology (IIT), Kharagpur",raghavraju@example.com
Cul dignissimos,Rhea Reddy,rheareddy@example.com,910111625776,3,"Vellore Institute of Technology (VIT), Vellore",rheareddy@example.com
Dicta,Zoya Swaminathan,zoyaswaminathan@example.com,917418534301,,"Dr. Vishwanath Karad MIT World Peace University (MIT-WPU), Pune",zoyaswaminathan@example.com
Possimus enim,Kimaya Hayer,kimayahayer@example.com,7675223620,3,"St, Vincent Pallotti College, Raipur",kimayahayer@example.com
Iure vitae,Dhruv Lad,dhruvlad@example.com,919186563057,4,Einstein academy of technology and management,dhruvlad@example.com
Quibusdam illum,Ishaan Toor,ishaantoor@example.com,917870667173,2,"Jadavpur University (JU), Kolkata",ishaantoor@example.com
Saepe esse,Rati Subramanian,ratisubramanian@example.com,4181398738,,Vidyasagar Evening College,ratisubramanian@example.com
Ut,Elakshi Grewal,elakshigrewal@example.com,917011441469,3,"Dr. GY Pathrikar College of CS & IT, Aurangabad, Maharashtra",elakshigrewal@example.com
Itaque quidem,Emir Grover,emirgrover@example.com,4227056161,3,"JSS Academy of Technical Education (JSSATE), Noida",emirgrover@example.com
Ratione sint,Jhanvi Joshi,jhanvijoshi@example.com,919904006736,3,"Arka Jain University (AJU), Jamshedpur",jhanvijoshi@example.com
Amet incidunt,Vidur Mandal,vidurmandal@example.com,5713506290,2,"Jadavpur University (JU), Kolkata","vidurmandal@example.com,ritvikamble@example.com,ishaanmani@example.com"
Eaque similique,Heer Lanka,heerlanka@example.com,85011221,2,"Indian Institute of Technology (IIT), Madras",heerlanka@example.com
Unde porro,Divit Majumdar,divitmajumdar@example.com,913558432334,1,"Jadavpur University (JU), Kolkata","divitmajumdar@example.com,mehulvenkataraman@example.com,bhavinchaudhari@example.com"
Error perspiciatis,Seher Wali,seherwali@example.com,919120827482,1,"Government College of Engineering, Ratnagiri",seherwali@example.com
Inventore,Alisha Walia,alishawalia@example.com,3749003492,2,"Rajiv Gandhi Institute of Petroleum Technology (RGIPT), Jais, Uttar Pradesh","alishawalia@example.com,madhavratta@example.com"
Mollitia unde,Purab Tailor,purabtailor@example.com,4331718106,3,"Sant Longowal Institute of Engineering and Technology, Longowal, Punjab","purabtailor@example.com,vedikasha@example.com"
Fuga voluptas,Anahita Ramachandran,anahitaramachandran@example.com,912412274229,1,"Nirma University, Ahmedabad",anahitaramachandran@example.com
Quidem dolore,Yuvraj  Apte,yuvrajapte@example.com,7150285555,,Xavier School of Management,yuvrajapte@example.com
Veniam distinctio,Vedika Borde,vedikaborde@example.com,915131535796,3,"J.C. Bose University of Science and Technology, YMCA, Faridabad",vedikaborde@example.com
Perferendis quia,Misha Majumdar,mishamajumdar@example.com,910632445985,2,"Heritage Institute of Technology (HIT), Kolkata",mishamajumdar@example.com
Volestias ad,Indrajit Sridhar,indrajitsridhar@example.com,911632816343,4,"Ramkrishna Mahato Government Engineering College, Purulia",indrajitsridhar@example.com
A culque,Zara Grewal,zaragrewal@example.com,1163093259,,Mahendra Educational Pvt. Ltd.,zaragrewal@example.com
Aspernatur eaque,Zeeshan Dalal,zeeshandalal@example.com,5618613191,2,"Jadavpur University (JU), Kolkata","zeeshandalal@example.com,stuvansolanki@example.com,kabirbakshi@example.com"
Nam earum,Ayesha Mahal,ayeshamahal@example.com,911307895716,4,Indian Institute of Technology (Indian School of Mines),ayeshamahal@example.com
Quis voluptate,Kashvi Kala,kashvikala@example.com,7650015512,4,"Pranveer Singh Institute of Technology (PSIT), Kanpur",kashvikala@example.com
Sint eveniet,Biju Dada,bijudada@example.com,3206760019,4,"Global Nature Care Sangathan Group of Institutions (GNCSGI), Jabalpur, Madhya Pradesh",bijudada@example.com
Ullam quaerat,Ishaan Sidhu,ishaansidhu@example.com,911020496734,3,"Fabtech Technical Campus (FTC), Sangola, Maharashtra",ishaansidhu@example.com
Unde voluptates,Pari Lall,parilall@example.com,912582322709,3,"Dr. D.Y. Patil Institute of Technology Pimpri, Pune",parilall@example.com
Est unde,Ranbir Tata,ranbirtata@example.com,7819401491,3,"Pranveer Singh Institute of Technology (PSIT), Kanpur",ranbirtata@example.com
Aliquid maiores,Krish Ganesh,krishganesh@example.com,5241954524,3,"Ajay Kumar Garg Engineering College (AKGEC), Ghaziabad",krishganesh@example.com
Illo culpa,Divij Dalal,divijdalal@example.com,8057582205,3,"Sankalchand Patel College of Engineering (SPCE), Visnagar, Gujarat",divijdalal@example.com
Quibusdam quibusdam,Krish Master,krishmaster@example.com,915336803329,4,"SJB Institute of Technology (SJBIT), Bengaluru",krishmaster@example.com
Magnam aut,Sahil Rama,sahilrama@example.com,4742940547,4,"Visvesvariya Technology University, Belgaum",sahilrama@example.com
Dicta quaerat,Zoya Bassi,zoyabassi@example.com,913188983610,,"Amrita School of Engineering (ASE), Bangalore",zoyabassi@example.com
Quae exercitationem,Jayant Dhillon,jayantdhillon@example.com,7976527791,2,"Gaya College of Engineering (GCE), Gaya",jayantdhillon@example.com
Sint earum,Shray Dhillon,shraydhillon@example.com,2660588338,3,"Aditya Engineering College (AEC), Andhra Pradesh",shraydhillon@example.com
Recusandae eaque,Sara Chaudhary,sarachaudhary@example.com,919264505465,2,"Brainware University, Kolkata",sarachaudhary@example.com
Fugiat dignissimos,Rhea Srinivas,rheasrinivas@example.com,878999037,4,"Godavari Institute of Engineering and Technology, AP",rheasrinivas@example.com
Iure eum,Divyansh Deo,divyanshdeo@example.com,4378398784,4,"Global Nature Care Sangathan Group of Institutions (GNCSGI), Jabalpur, Madhya Pradesh",divyanshdeo@example.com
Sapiente eveniet,Jayesh Jani,jayeshjani@example.com,917509276360,4,Gouthami institute of technology and management for women,jayeshjani@example.com
Sunt perferendis,Ishita Mani,ishitamani@example.com,915305823821,3,"Pranveer Singh Institute of Technology (PSIT), Kanpur",ishitamani@example.com
Reiciendis hic,Gokul Bhalla,gokulbhalla@example.com,914245666816,2,"Government Engineering College (GEC), Bilaspur",gokulbhalla@example.com
Eligendi,Mannat Ratta,mannatratta@example.com,8223359188,3,"SR University, Warangal",mannatratta@example.com
Ducimus inventore,Zaina Rout,zainarout@example.com,3343807270,4,"Jain University (JU), Bangalore",zainarout@example.com
Quia laboriosam,Urvi Dayal,urvidayal@example.com,913517465084,3,"Acharya Institute of Technology (AIT), Bangalore",urvidayal@example.com
Sequi perferendis,Seher Rajan,seherrajan@example.com,6156709871,1,"ITER, SOA UNIVERSITY",seherrajan@example.com
Minus quos,Indrajit Madan,indrajitmadan@example.com,1121200558,4,"Vasireddy Venkatadri Institute of Technology, Namburu, Andhra Pradesh",indrajitmadan@example.com
Neque tenetur,Mishti Tandon,mishtitandon@example.com,918017009016,,"Rampurhat College, Rampurhat, West Bengal",mishtitandon@example.com
Iste quisquam,Saira Wali,sairawali@example.com,7963801451,3,"Rampurhat College, Rampurhat, West Bengal",sairawali@example.com
Doloremque ut,Bhavin Bala,bhavinbala@example.com,5921133674,3,"Techno Main Salt Lake, Kolkata, West Bengal",bhavinbala@example.com
Hic nulla,Nirvi Goswami,nirvigoswami@example.com,908778388,3,"Techno Main Salt Lake, Kolkata, West Bengal",nirvigoswami@example.com
Quasi,Farhan Ramesh,farhanramesh@example.com,9378726098,1,JADAVPUR UNIVERSITY,"farhanramesh@example.com, samarthtella@example.com"
Quod facilis,Emir Sankaran,emirsankaran@example.com,7142657970,4,Jadavpur University,emirsankaran@example.com
Culque deserunt,Aaryahi Sule,aaryahisule@example.com,5396756934,2,Jadavpur University ,aaryahisule@example.com
Nesciunt,Riaan Dave,riaandave@example.com,918530403071,2,University of calcutta,"riaandave@example.com, vivaansathe@example.com, daminilall@example.com"
Architecto neque,Prerak Sant,preraksant@example.com,6732270572,4,Jadavpur University,"preraksant@example.com, siyajayaraman@example.com"
Aspernatur harum,Samar Mandal,samarmandal@example.com,3558241866,1,RCCIIT,samarmandal@example.com
Sapiente eius,Riaan Sani,riaansani@example.com,4307050694,1,JIS COLLEGE OF ENGINEERING ,riaansani@example.com
Modi,Aaina Doctor,aainadoctor@example.com,4333637794,3,Jadavpur University ,aainadoctor@example.com
Eveniet ipsa,Uthkarsh Chhabra,uthkarshchhabra@example.com,912706700399,1,Jadavpur University ,"uthkarshchhabra@example.com, dhanukagarwal@example.com"
Quo,Amira Desai,amiradesai@example.com,354371597,2,Jadavpur University,"amiradesai@example.com, hunarbhagat@example.com"
Iure,Zara Cherian,zaracherian@example.com,915449369251,1,Jalpaiguri Government Engineering College,"zaracherian@example.com, divijsehgal@example.com, sakshammaster@example.com"
Saepe perferendis,Kanav Chacko,kanavchacko@example.com,674571534,1,Jadavpur University,kanavchacko@example.com
Ullam temporibus,Kiaan Sodhi,kiaansodhi@example.com,2340102766,1,Jadavpur University,"kiaansodhi@example.com, taragaba@example.com"
Aliquid,Advika Singh,advikasingh@example.com,918196499626,1,Jadavpur university,"advikasingh@example.com, zaravasa@example.com, aarnachokshi@example.com"
Nesciunt alias,Aarna Kata,aarnakata@example.com,7887641418,2,Jadavpur University,"aarnakata@example.com, piyalal@example.com, hazelcherian@example.com"
Nihil a,Ivana Chandra,ivanachandra@example.com,914029365757,1,Heritage Institute of Technology ,"ivanachandra@example.com, daminiravel@example.com"
Inventore illo,Riya Dayal,riyadayal@example.com,8428318379,2,jadavpur university,"riyadayal@example.com, tanyaroy@example.com"
Ipsa,Kabir Buch,kabirbuch@example.com,4600534849,3,Jadavpur University ,"kabirbuch@example.com, armaanchokshi@example.com"
Recusandae fuga,Miraya Rajan,mirayarajan@example.com,910381717236,1,Jadavpur University ,"mirayarajan@example.com, sahilsood@example.com"
Autem blanditiis,Jiya Srivastava,jiyasrivastava@example.com,2139726853,1,Jadavpur University ,"jiyasrivastava@example.com, vivaankuruvilla@example.com, kanavd’alia@example.com"
Aspernatur consectetur,Lavanya Hayre,lavanyahayre@example.com,911508404903,3,Jadavpur University ,"lavanyahayre@example.com, nehmatsagar@example.com"
Ullam,Siya Shukla,siyashukla@example.com,3283538997,2,JU,"siyashukla@example.com, sanadhingra@example.com"
Incidunt,Mishti Mall,mishtimall@example.com,913470163634,3,Jadavpur University,"mishtimall@example.com, ojaschauhan@example.com"
Mollitia,Vivaan Sinha,vivaansinha@example.com,6813668180,1,University of Calcutta,"vivaansinha@example.com, dhanushdayal@example.com, lakshitkumer@example.com"
Quo et,Uthkarsh Swaminathan,uthkarshswaminathan@example.com,895524744,2,Jadavpur University,"uthkarshswaminathan@example.com, jivinsarin@example.com"
Eum corrupti,Yuvraj  Mahal,yuvrajmahal@example.com,4538934671,1,Heritage Institute of Technology ,"yuvrajmahal@example.com, jayeshverma@example.com"
Eaque eligendi,Neelofar D’Alia,neelofardalia@example.com,917150559050,2,Jadavpur University,"neelofardalia@example.com, samihakakar@example.com, kartikthaman@example.com"
Enim sequi,Kartik Khatri,kartikkhatri@example.com,916765567574,2,Jadavpur University,kartikkhatri@example.com
Hic minima,Neelofar Shan,neelofarshan@example.com,6875628284,1,Jadavpur University,"neelofarshan@example.com, amiramangal@example.com, urvibhargava@example.com"
Nesciunt doloribus,Siya Sandal,siyasandal@example.com,1720337951,3,Jadavpur University,siyasandal@example.com
Dolorum,Jivika Barad,jivikabarad@example.com,5043802453,2,Heritage Institute of Technology,"jivikabarad@example.com, aradhyahanda@example.com, alialuthra@example.com"
Quibusdam perferendis,Ishita Tandon,ishitatandon@example.com,919448803839,1,Jadavpur University,"ishitatandon@example.com, advikahayre@example.com, irakala@example.com"
Vel mollitia,Misha Borde,mishaborde@example.com,1777301293,1,Heritage Institute of Technology ,"mishaborde@example.com, zainaratti@example.com"
Non,Ivan Butala,ivanbutala@example.com,20086671,2,Jadavpur University,"ivanbutala@example.com, aarushdutta@example.com, reyanshlala@example.com"
Fuga inventore,Oorja Vasa,oorjavasa@example.com,6874221424,1,Jadavpur University ,"oorjavasa@example.com, zainabail@example.com, prerakbatta@example.com"
Soluta pariatur,Inaaya  Bail,inaayabail@example.com,1091292963,1,Jadavpur University,"inaayabail@example.com, alishasaraf@example.com, shaanbains@example.com"
Laboriosam laboriosam,Shray Subramaniam,shraysubramaniam@example.com,1991157894,1,Jadavpur University,shraysubramaniam@example.com
Id,Amira Deo,amiradeo@example.com,914122039484,2,Jadavpur University,"amiradeo@example.com, ahanahora@example.com, indranilchatterjee@example.com"
Laboriosam,Shamik Manda,shamikmanda@example.com,6265823534,3,Jadavpur University ,"shamikmanda@example.com, lakshayraju@example.com, advikdar@example.com"
Volestias,Ela Ghose,elaghose@example.com,910602419024,1,Jadavpur University,elaghose@example.com
Ipsum ab,Indranil Kumer,indranilkumer@example.com,333558103,1,Jadavpur University,indranilkumer@example.com
Qui nostrum,Zara Sura,zarasura@example.com,9602993648,1,Jadavpur University ,"zarasura@example.com, uthkarshdeol@example.com"
Itaque illo,Biju Dutta,bijudutta@example.com,6764043378,2,Jadavpur University,bijudutta@example.com
Id necessitatibus,Myra Soman,myrasoman@example.com,764975337,1,JADAVPUR UNIVERSITY,myrasoman@example.com
Iure unde,Darshit Kota,darshitkota@example.com,3331408017,2,Jadavpur University ,"darshitkota@example.com, arhaanmaster@example.com, ratichad@example.com"
Occaecati dolores,Anvi Jhaveri,anvijhaveri@example.com,2358125736,1,Jadavpur University ,"anvijhaveri@example.com, taradey@example.com, vritikamanne@example.com"
Quod,Hansh Ben,hanshben@example.com,918502694149,1,Heritage Institute of Technology ,"hanshben@example.com, veerwadhwa@example.com"
Consequatur,Alia Bandi,aliabandi@example.com,1066507907,1,Jadavpur University ,aliabandi@example.com
Labore soluta,Devansh Yohannan,devanshyohannan@example.com,599620618,1,Jadavpur University ,"devanshyohannan@example.com, taimurgarg@example.com"
Laboriosam aspernatur,Indrajit Dada,indrajitdada@example.com,3613209580,1,Jadavpur University ,"indrajitdada@example.com, nehmatbassi@example.com, samihakala@example.com"
Nulla,Purab Divan,purabdivan@example.com,7720318939,1,Jadavpur University,"purabdivan@example.com, piyavasa@example.com, anaysibal@example.com"
Nisi minima,Riya Koshy,riyakoshy@example.com,911197134221,3,Jadavpur University,riyakoshy@example.com
Ad a,Riaan Bala,riaanbala@example.com,4935175496,1,Jalpaiguri Government Engineering College ,"riaanbala@example.com, fatehsama@example.com"
Corporis,Umang Ramaswamy,umangramaswamy@example.com,7254844198,1,jadavpur university,"umangramaswamy@example.com, dhanukbhagat@example.com, nitarabrahmbhatt@example.com"
Animi,Ela Warrior,elawarrior@example.com,7550287369,1,Jadavpur University,"elawarrior@example.com, lakshitcomar@example.com"
Similique,Adah Mangal,adahmangal@example.com,7261056546,2,jadavpur university,"adahmangal@example.com, alialalla@example.com"
Cupiditate distinctio,Rasha Aggarwal,rashaaggarwal@example.com,3955266262,1,Jadavpur University,"rashaaggarwal@example.com, lakshitaggarwal@example.com"
Error ad,Diya Dada,diyadada@example.com,1735351614,2,JU,"diyadada@example.com, rheabora@example.com"
Minus quasi,Suhana Talwar,suhanatalwar@example.com,917498170808,1,Jadavpur University,"suhanatalwar@example.com, farhanbhatti@example.com, ryansamra@example.com"
Volestiae,Diya Sibal,diyasibal@example.com,7419836132,3,JADAVPUR UNIVERSITY,"diyasibal@example.com, advikadyal@example.com"
Possimus exercitationem,Tara Sinha,tarasinha@example.com,4236294009,2,Jadavpur University,"tarasinha@example.com, jayeshmall@example.com, jivikamallick@example.com"
Blanditiis eligendi,Ahana  Mahajan,ahanamahajan@example.com,916530970730,1,Jadavpur University ,ahanamahajan@example.com
Et,Nakul Swaminathan,nakulswaminathan@example.com,2825376360,2,JADAVPUR UNIVERSITY,"nakulswaminathan@example.com, purabedwin@example.com"
Placeat eaque,Kaira Karpe,kairakarpe@example.com,912883974944,1,Jadavpur University,kairakarpe@example.com
Saepe praesentium,Tanya Das,tanyadas@example.com,3633313752,1,Jadavpur University,"tanyadas@example.com, ratisandhu@example.com"
Veniam a,Vardaniya Upadhyay,vardaniyaupadhyay@example.com,368310383,1,Jadavpur University,"vardaniyaupadhyay@example.com, kabirdyal@example.com"
Libero soluta,Umang De,umangde@example.com,2632201661,1,JADAVPUR UNIVERSITY,"umangde@example.com, samarkar@example.com"
Odio praesentium,Ehsaan Rau,ehsaanrau@example.com,5247036335,4,Jadavpur University,"ehsaanrau@example.com, yashvichakraborty@example.com"
Incidunt libero,Tejas Upadhyay,tejasupadhyay@example.com,6372451250,1,Jadhavpur University,"tejasupadhyay@example.com, farhansarin@example.com, anyadora@example.com"
Volestias qui,Jayan Balakrishnan,jayanbalakrishnan@example.com,946098500,1,Jadavpur University ,"jayanbalakrishnan@example.com, tiyakannan@example.com"
Adipisci eos,Nakul Som,nakulsom@example.com,3720111394,2,JADAVPUR UNIVERSITY ,"nakulsom@example.com, yuvaanlanka@example.com"
Et libero,Amira Gade,amiragade@example.com,913221779533,1,Jadavpur University,amiragade@example.com
Voluptatem,Zara Warrior,zarawarrior@example.com,917964677891,2,UNIVERSITY OF CALCUTTA,"zarawarrior@example.com, armaanbahri@example.com, mishtimann@example.com"
Provident adipisci,Kanav Tailor,kanavtailor@example.com,4878116808,3,Jadavpur University,"kanavtailor@example.com, neelofarbarman@example.com, bhavinwadhwa@example.com"
Beatae,Saira Tara,sairatara@example.com,4990115864,2,Jadavpur University,"sairatara@example.com, nehmatravi@example.com"
Eligendi enim,Tushar Krish,tusharkrish@example.com,914793975094,2,university of calcutta,"tusharkrish@example.com, jivikabhat@example.com"
Voluptate explicabo,Aarush Rana,aarushrana@example.com,919175168327,2,RCCIIT,aarushrana@example.com
Voluptas soluta,Ehsaan Andra,ehsaanandra@example.com,910976709890,3,"St. Xavier's College (Autonomous), Kolkata","ehsaanandra@example.com, emirsarraf@example.com"
Maxime impedit,Mannat D’Alia,mannatdalia@example.com,5575483692,2,Jadavpur University ,"mannatdalia@example.com, aayushsawhney@example.com"
Pariatur explicabo,Aniruddh Toor,aniruddhtoor@example.com,5632252563,2,Jadavpur University,"aniruddhtoor@example.com, indrajitsaini@example.com, arnavdeep@example.com"
Culque facere,Nitya Koshy,nityakoshy@example.com,1171986717,2,Jadavpur University,"nityakoshy@example.com, tarakota@example.com"
Recusandae harum,Lakshit Gill,lakshitgill@example.com,4930511529,3,Jadavpur University ,"lakshitgill@example.com, elakshichaudhry@example.com"
Volestias unde,Advika Majumdar,advikamajumdar@example.com,3541659987,1,JADAVPUR UNIVERSITY,"advikamajumdar@example.com, priyanshbarman@example.com, manikyawagle@example.com"
Eaque molestiae,Ahana  Kalita,ahanakalita@example.com,2896483698,1,Jadavpur University ,ahanakalita@example.com
Laboriosam laborum,Bhamini Loke,bhaminiloke@example.com,9208256908,1,Jadavpur University,bhaminiloke@example.com
Quaerat dolores,Tushar Bava,tusharbava@example.com,1174938675,2,JADAVPUR UNIVERSITY ,tusharbava@example.com
Laborum,Diya Singh,diyasingh@example.com,915622964592,1,jadavpur university,"diyasingh@example.com, dharmajanmahajan@example.com"
Rerum,Abram Sahota,abramsahota@example.com,9478333106,2,Jadavpur University,"abramsahota@example.com, fatehkhanna@example.com"
Distinctio necessitatibus,Gokul Master,gokulmaster@example.com,949544467,1,JAdavpur University,"gokulmaster@example.com, vritikakamdar@example.com, reneevarkey@example.com"
Mollitia incidunt,Kaira Thaman,kairathaman@example.com,6061925721,1,Jadavpur University ,"kairathaman@example.com, mamootymaharaj@example.com, taimurkeer@example.com"
Omnis doloremque,Aaryahi Bhargava,aaryahibhargava@example.com,911568575722,3,Jadavpur University ,"aaryahibhargava@example.com, zaindutta@example.com"
Facere,Hansh Bali,hanshbali@example.com,722214485,3,Jadavpur University,hanshbali@example.com
Laborum voluptatum,Pranay Bail,pranaybail@example.com,2089623100,2,Jadavpur University ,"pranaybail@example.com, aayushsha@example.com"
Repudiandae perferendis,Drishya Sabharwal,drishyasabharwal@example.com,2595108434,1,Jadavpur University ,drishyasabharwal@example.com
In eveniet,Tushar Ganguly,tusharganguly@example.com,4953441391,3,Jadavpur University,tusharganguly@example.com
Fugit quam,Ayesha Sood,ayeshasood@example.com,3027610142,2,Jadavpur University ,ayeshasood@example.com
Vitae iusto,Sumer Mann,sumermann@example.com,7909575248,1,Techno India Uni,sumermann@example.com
Reprehenderit necessitatibus,Baiju Chaudhuri,baijuchaudhuri@example.com,2095962885,1,Jalpaiguri Government Engineering College ,"baijuchaudhuri@example.com, paridugal@example.com, ishaanaggarwal@example.com"
Incidunt alias,Ritvik Dalal,ritvikdalal@example.com,8926593501,3,JU,ritvikdalal@example.com
Adipisci accusamus,Anya Gola,anyagola@example.com,9077133972,1,Jadavpur  University ,"anyagola@example.com, ahanadixit@example.com"
Architecto,Yuvraj  Handa,yuvrajhanda@example.com,915749868321,3,Jadavpur University,yuvrajhanda@example.com
Illum aliquam,Aarush Arora,aarusharora@example.com,5374205510,3,Jadavpur University,"aarusharora@example.com, yasminvarty@example.com"
Laudantium a,Dishani Bakshi,dishanibakshi@example.com,4301911647,1,Jadavpur University,"dishanibakshi@example.com, raunakvarughese@example.com, krishkarnik@example.com"
Aut minima,Hunar Kothari,hunarkothari@example.com,7606541224,1,Jadavpur University ,hunarkothari@example.com
Culpa eveniet,Sara Bhat,sarabhat@example.com,1778474883,2,Jadavpur University ,"sarabhat@example.com, anyaranganathan@example.com, inaayamammen@example.com"
Ipsa numquam,Lakshit Kala,lakshitkala@example.com,4410940172,1,Jadavpur University ,"lakshitkala@example.com, bijucherian@example.com"
Illum necessitatibus,Hrishita Jani,hrishitajani@example.com,910836705358,2,Jadavpur University,"hrishitajani@example.com, stuvangupta@example.com, romilrama@example.com"
Laboriosam accusantium,Manjari Sur,manjarisur@example.com,910309828699,1,NETAJI SHUBASH ENGINEERING COLLEGE,manjarisur@example.com
Exercitationem,Tanya Apte,tanyaapte@example.com,912042445120,1,St. Xavier's College Kolkata (Autonomous),tanyaapte@example.com
Error,Indranil Shroff,indranilshroff@example.com,6258093746,1,Jadavpur University ,"indranilshroff@example.com, indranschaudhary@example.com"
Amet doloribus,Yuvaan Sundaram,yuvaansundaram@example.com,916430691289,1,Jadavpur University,"yuvaansundaram@example.com, tiyadhillon@example.com"
Eum voluptate,Anaya Karpe,anayakarpe@example.com,9770233127,1,JADAVPUR UNIVERSITY,"anayakarpe@example.com, siyachakrabarti@example.com"
Maxime,Keya Chanda,keyachanda@example.com,913827983751,2,Jadavpur University,keyachanda@example.com
Ea mollitia,Ahana  Venkatesh,ahanavenkatesh@example.com,5384753072,3,Netaji Subhash Engineering College ,ahanavenkatesh@example.com
Minima nostrum,Mishti Gola,mishtigola@example.com,5372173703,2,Jadavpur University ,mishtigola@example.com
Aut,Suhana Brahmbhatt,suhanabrahmbhatt@example.com,3486613428,4,Jadavpur University ,suhanabrahmbhatt@example.com
